,num_user,playtime_total,playtime_000,playtime_p025,playtime_p050,playtime_p075,playtime_p100
The Elder Scrolls V Skyrim,663,70863.70000000001,0.1,9.25,48.0,128.5,1986.0
Fallout 4,165,10756.400000000003,0.2,21.0,46.0,82.0,629.0
Spore,58,1706.6000000000004,0.1,2.425,6.65,12.35,417.0
Fallout New Vegas,282,14828.100000000002,0.1,3.6,22.0,71.0,417.0
Left 4 Dead 2,785,33570.79999999999,0.1,3.5,10.9,32.0,2710.0
HuniePop,20,416.4,0.8,10.075,14.45,34.0,70.0
Path of Exile,189,10183.500000000004,0.1,1.1,5.8,25.0,1158.0
Poly Bridge,11,63.1,1.7,2.1,5.2,9.0,11.8
Left 4 Dead,194,8639.2,0.1,3.025,8.35,30.5,817.0
Team Fortress 2,1790,172970.1,0.1,1.9,10.0,47.0,9640.0
Tomb Raider,204,3184.3,0.2,3.9,11.55,20.0,229.0
The Banner Saga,29,434.6,0.3,2.0,6.8,15.0,102.0
Dead Island Epidemic,125,739.5000000000001,0.1,0.3,1.2,3.5,126.0
BioShock Infinite,211,3688.300000000001,0.1,5.8,11.9,19.35,271.0
Dragon Age Origins - Ultimate Edition,59,2552.500000000001,0.1,1.75,10.4,25.5,1157.0
Fallout 3 - Game of the Year Edition,101,2005.3000000000002,0.1,1.2,5.7,25.0,154.0
SEGA Genesis & Mega Drive Classics,22,116.60000000000001,0.1,0.22500000000000003,0.45,1.2499999999999998,52.0
Grand Theft Auto IV,223,4683.500000000001,0.1,1.9,7.8,27.5,222.0
Realm of the Mad God,89,1012.2999999999998,0.1,0.8,2.3,8.1,134.0
Marvel Heroes 2015,103,3215.4000000000005,0.1,0.6499999999999999,2.0,7.6,1082.0
Eldevin,14,325.2,0.1,0.4,0.5,1.5999999999999999,312.0
Dota 2,3004,978894.4,0.1,7.375000000000001,33.0,277.25,10442.0
BioShock,142,1087.8,0.1,0.8,2.4,10.350000000000001,140.0
Robocraft,376,9065.1,0.1,0.8,4.5,17.8,700.0
Garry's Mod,653,49695.10000000003,0.1,4.8,18.4,64.0,3667.0
Jazzpunk,8,15.799999999999999,0.1,0.475,1.7999999999999998,3.3000000000000003,4.4
