,num_game,playtime_total,playtime_000,playtime_p025,playtime_p050,playtime_p075,playtime_p100
151603712,26,439.90000000000003,0.1,0.5,1.35,7.949999999999999,273.0
59945701,21,467.30000000000007,0.1,0.7,3.4,10.2,238.0
53875128,180,1335.1,0.1,0.5,1.85,7.925,86.0
140954425,1,13.0,13.0,13.0,13.0,13.0,13.0
26122540,7,182.3,1.1,4.95,10.3,34.5,92.0
176410694,1,9.1,9.1,9.1,9.1,9.1,9.1
150128162,1,42.0,42.0,42.0,42.0,42.0,42.0
63024728,1,42.0,42.0,42.0,42.0,42.0,42.0
297811211,3,44.7,5.6,7.85,10.1,19.55,29.0
218323237,3,24.5,0.9,4.8500000000000005,8.8,11.8,14.8
126340495,17,2770.8999999999996,0.3,2.2,10.2,48.0,1784.0
170625356,1,7.4,7.4,7.4,7.4,7.4,7.4
167362888,1,135.0,135.0,135.0,135.0,135.0,135.0
208649703,1,125.0,125.0,125.0,125.0,125.0,125.0
195071563,1,6.2,6.2,6.2,6.2,6.2,6.2
144138643,1,5.2,5.2,5.2,5.2,5.2,5.2
97298878,23,220.2,0.1,0.75,8.3,10.0,44.0
173909336,3,1141.1000000000001,5.9,11.55,17.2,567.6,1118.0
198572546,1,12.7,12.7,12.7,12.7,12.7,12.7
202906503,1,10.4,10.4,10.4,10.4,10.4,10.4
92107940,9,300.6,0.5,1.9,10.0,40.0,110.0
233558010,2,113.0,34.0,45.25,56.5,67.75,79.0
99189757,1,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0
30695285,2,36.2,0.2,9.15,18.1,27.05,36.0
259648553,1,16.9,16.9,16.9,16.9,16.9,16.9
48845802,11,411.6,0.2,1.0,10.0,45.5,211.0
226212066,10,136.4,0.2,1.2000000000000002,3.0,9.775000000000002,94.0
221430493,1,5.3,5.3,5.3,5.3,5.3,5.3
62923086,1,91.0,91.0,91.0,91.0,91.0,91.0
250006052,2,505.0,40.0,146.25,252.5,358.75,465.0
65117175,62,432.2,0.3,2.025,3.7,8.825000000000001,66.0
227944885,1,62.0,62.0,62.0,62.0,62.0,62.0
144004384,1,22.0,22.0,22.0,22.0,22.0,22.0
11373749,194,3930.4999999999995,0.1,2.425,6.55,14.475,762.0
140293612,1,278.0,278.0,278.0,278.0,278.0,278.0
187851224,1,240.0,240.0,240.0,240.0,240.0,240.0
192921532,2,8.1,1.2,2.625,4.05,5.4750000000000005,6.9
54103616,20,2567.0000000000005,0.4,6.25,15.9,45.0,1028.0
222277839,1,86.0,86.0,86.0,86.0,86.0,86.0
298547051,3,36.6,0.3,1.7999999999999998,3.3,18.15,33.0
264253640,11,170.3,0.4,1.0,1.9,5.4,142.0
164543231,11,212.00000000000003,0.4,4.5,7.4,19.95,105.0
163617342,9,1754.3,0.2,0.8,1.9,3.3,891.0
295931968,1,6.6,6.6,6.6,6.6,6.6,6.6
298389371,2,237.6,6.6,62.7,118.8,174.9,231.0
27543430,1,13.6,13.6,13.6,13.6,13.6,13.6
126640783,1,9.9,9.9,9.9,9.9,9.9,9.9
243440565,2,42.5,0.5,10.875,21.25,31.625,42.0
263856756,1,499.0,499.0,499.0,499.0,499.0,499.0
124395695,1,29.0,29.0,29.0,29.0,29.0,29.0
294797577,1,10.1,10.1,10.1,10.1,10.1,10.1
228507886,1,6.5,6.5,6.5,6.5,6.5,6.5
272425320,1,5.4,5.4,5.4,5.4,5.4,5.4
49769103,5,265.4,1.4,22.0,26.0,63.0,153.0
202742019,3,111.8,1.5,3.9,6.3,55.15,104.0
300601393,2,25.4,12.0,12.35,12.7,13.05,13.4
109278470,3,76.0,0.5,0.5,0.5,37.75,75.0
197509386,1,550.0,550.0,550.0,550.0,550.0,550.0
92842632,3,50.699999999999996,6.9,11.850000000000001,16.8,21.9,27.0
103973922,2,306.5,3.5,78.375,153.25,228.125,303.0
5270060,4,16.099999999999998,0.1,0.7000000000000001,1.9,5.225,12.2
171847029,21,1380.5,0.3,0.8,3.9,30.0,639.0
111479516,1,865.0,865.0,865.0,865.0,865.0,865.0
64350600,13,322.7,0.2,0.3,2.0,8.6,271.0
117217039,1,60.0,60.0,60.0,60.0,60.0,60.0
